Time (s),Mass A X (m),Mass A Y (m),Mass B X (m),Mass B Y (m)
7.800779,-0.02390796,-0.001083232,0.02434724,-0.001612007
7.834116,-0.02017098,-0.001439724,0.02101265,-0.001974446
7.867453,-0.01722324,-0.001398973,0.01823176,-0.002002544
7.900789,-0.01649992,-0.001362039,0.01736369,-0.00197893
7.934126,-0.01840856,-0.001471576,0.01885079,-0.002029207
7.967463,-0.0220453,-0.001323525,0.02188068,-0.001890381
8.000799,-0.0257126,-0.0007490178,0.02497683,-0.001495784
8.034136,-0.02813043,-0.0001052072,0.02697205,-0.001033991
8.067473,-0.02860573,3.292615e-05,0.02723887,-0.0009409744
8.100809,-0.02692072,-0.0004583128,0.02574527,-0.001310684
8.134146,-0.0235986,-0.001100329,0.02293358,-0.001764753
8.167483,-0.01982505,-0.001436322,0.0197374,-0.001961056
8.200819,-0.01706579,-0.001368719,0.01754495,-0.001965916
8.234156,-0.01672897,-0.001350568,0.01755966,-0.001970443
8.267493,-0.01887575,-0.001434859,0.0198648,-0.002013433
8.300829,-0.02240297,-0.001255829,0.02323844,-0.001753097
8.334166,-0.02577672,-0.0007178123,0.02612251,-0.0012458
8.367502,-0.0279085,-0.0001799668,0.02763104,-0.0008822187
8.400839,-0.02810807,-0.0001322335,0.02724615,-0.0009880312
8.434176,-0.02624714,-0.0006202081,0.02508907,-0.001475048
8.467512,-0.02298518,-0.001169855,0.02173477,-0.001889711
8.500849,-0.01953009,-0.001393256,0.01849465,-0.001991374
8.534186,-0.01738813,-0.001365212,0.0167429,-0.001915925
8.567522,-0.01758,-0.0013975,0.0174673,-0.001954467
8.600859,-0.01994966,-0.001422715,0.02038168,-0.001978839
8.634196,-0.02323718,-0.001170312,0.02398166,-0.001653302
8.667532,-0.02607636,-0.0006450899,0.02688556,-0.001105098
8.700869,-0.02756077,-0.0002887316,0.02823213,-0.000746774
8.734206,-0.0270574,-0.0003972678,0.02744075,-0.0009632668
8.767542,-0.02491496,-0.0008893381,0.02483052,-0.001544863
8.800879,-0.02174816,-0.001312391,0.02119061,-0.001988694
8.834216,-0.01886379,-0.001420998,0.01788281,-0.002043064
8.867552,-0.01757486,-0.001387339,0.01643016,-0.001928239
8.900889,-0.01863523,-0.001437797,0.01750388,-0.001987675
8.934226,-0.02143544,-0.001341384,0.02059374,-0.001999923
8.967562,-0.02465339,-0.0009356889,0.0242298,-0.001633116
9.000899,-0.02697016,-0.0004545686,0.02703215,-0.001045802
9.034236,-0.02767075,-0.0002593827,0.02814142,-0.000735663
9.067572,-0.02642988,-0.0005892635,0.02718673,-0.000985441
9.100909,-0.02366162,-0.001109031,0.02453824,-0.001562344
9.134246,-0.0203458,-0.001416022,0.02097555,-0.001958867
9.167582,-0.01779351,-0.001424251,0.01795205,-0.002005887
9.200919,-0.01724988,-0.001380381,0.01688513,-0.001926246
9.234256,-0.01903535,-0.001464582,0.01823356,-0.001991092
9.267592,-0.02234739,-0.001260015,0.02126161,-0.001930617
9.300929,-0.02569713,-0.000761777,0.02445078,-0.001546586
9.334266,-0.02780393,-0.0002123681,0.02680479,-0.001072814
9.367602,-0.02801401,-0.0001440121,0.02745984,-0.0008835109
9.400939,-0.02615532,-0.0005959228,0.0262974,-0.00117158
9.434276,-0.02294414,-0.001168108,0.02354124,-0.001659738
9.467612,-0.01937333,-0.001399044,0.0203548,-0.001969292
9.500949,-0.01697616,-0.001336663,0.01797715,-0.001980644
9.534286,-0.01686786,-0.001312911,0.0175966,-0.001971951
9.567622,-0.01920859,-0.001377476,0.01943282,-0.00201453
9.600959,-0.02278061,-0.001179122,0.02242748,-0.001848477
9.634296,-0.02616586,-0.0005885099,0.02524077,-0.001444257
9.667632,-0.02815787,-6.502881e-05,0.02689846,-0.001069277
9.700969,-0.02812224,-4.874636e-05,0.02687201,-0.001048378
9.734306,-0.02602552,-0.0005693332,0.02508759,-0.001411059
9.767642,-0.02267697,-0.001153208,0.02221265,-0.001830584
9.800979,-0.0191627,-0.001357305,0.01927355,-0.00199604
9.834316,-0.01694998,-0.001284511,0.0175692,-0.001970604
9.867652,-0.01715228,-0.001293293,0.01807823,-0.00199968
9.900989,-0.01956482,-0.001355695,0.02054142,-0.001983205
9.934326,-0.0229956,-0.001091194,0.02369864,-0.001715296
9.967662,-0.0261166,-0.0005785247,0.02625255,-0.00124782
10.001,-0.02784849,-0.0001280103,0.02738039,-0.00095662
10.03434,-0.02755855,-0.0002054012,0.02667084,-0.00116753
10.06767,-0.02542038,-0.000710409,0.02429094,-0.001627094
10.10101,-0.02216595,-0.001197503,0.02100659,-0.001953521
10.13435,-0.01901227,-0.001354271,0.01816118,-0.002030767
10.16768,-0.01738225,-0.001287278,0.01695229,-0.001948556
10.20102,-0.01798078,-0.001323932,0.01807724,-0.002031941
10.23436,-0.02050296,-0.001292725,0.02105155,-0.001968941
10.26769,-0.02367747,-0.0009972315,0.02448212,-0.001602895
10.30103,-0.02628774,-0.0005001445,0.02706877,-0.001051769
10.33437,-0.02737792,-0.0002108227,0.02790381,-0.0007996684
10.3677,-0.02659445,-0.0003879676,0.02681388,-0.001109292
10.40104,-0.02429879,-0.000885808,0.02400809,-0.001675041
10.43438,-0.02123704,-0.001265528,0.02052018,-0.002028323
10.46771,-0.01861968,-0.001341917,0.01760004,-0.002016854
10.50105,-0.0177653,-0.001307705,0.01665362,-0.001947368
10.53439,-0.01906189,-0.001330475,0.0181285,-0.00203373
10.56772,-0.02188814,-0.001190638,0.0212233,-0.001968146
10.60106,-0.02488423,-0.0007685616,0.0246421,-0.001570289
10.6344,-0.0269405,-0.000324627,0.02711255,-0.001044835
10.66773,-0.02730207,-0.0002288524,0.02781447,-0.0008380297
